Area Code,Region,Area Name,2011-12,2012-13,2013-14,2014-15,2015-16,2016-17,2017-18,2018-19,2019-20,2020-21,2021-22
S12000033,Scotland,Aberdeen City,180,630,570,30,-780,-630,-650,-310,0,-640,-20
S12000034,Scotland,Aberdeenshire,130,410,340,-130,-600,-460,-250,-50,-40,660,440
S12000041,Scotland,Angus,70,100,210,180,-70,-10,40,90,160,290,190
S12000035,Scotland,Argyll and Bute,290,380,410,280,480,600,610,560,470,900,460
S12000036,Scotland,City of Edinburgh,300,"1,660","1,580","2,120","2,350","3,030","2,810","2,030","1,730",-310,2740
S12000005,Scotland,Clackmannanshire,50,90,10,90,60,0,50,60,100,50,110
S12000006,Scotland,Dumfries and Galloway,320,520,710,510,560,680,800,900,730,"1,240",1050
S12000042,Scotland,Dundee City,0,210,-10,-10,-20,230,250,200,120,-120,280
S12000008,Scotland,East Ayrshire,140,120,60,160,130,160,130,240,160,270,310
S12000045,Scotland,East Dunbartonshire,-50,-70,-40,90,70,70,20,-10,50,-60,60
S12000010,Scotland,East Lothian,140,90,170,170,170,120,110,90,220,410,100
S12000011,Scotland,East Renfrewshire,-170,-20,-10,-20,40,30,-30,0,30,-100,-90
S12000014,Scotland,Falkirk,50,130,290,230,200,180,80,130,100,150,100
S12000047,Scotland,Fife,70,480,630,470,440,660,530,500,410,-280,600
S12000049,Scotland,Glasgow City,-190,140,770,"1,150","1,850","1,810","1,680","1,410","1,000",310,1470
S12000017,Scotland,Highland,380,760,740,810,890,930,"1,000","1,030",860,"1,780",1060
S12000018,Scotland,Inverclyde,-40,50,60,90,50,40,80,60,70,130,40
S12000019,Scotland,Midlothian,20,90,170,-90,70,70,-10,-40,90,160,130
S12000020,Scotland,Moray,440,500,280,250,280,160,210,380,320,630,410
S12000013,Scotland,Na h-Eileanan Siar,80,110,20,40,30,150,120,100,60,160,160
S12000021,Scotland,North Ayrshire,0,160,190,180,210,280,220,170,210,280,140
S12000050,Scotland,North Lanarkshire,40,120,300,100,170,80,220,240,280,240,250
S12000023,Scotland,Orkney Islands,100,90,120,130,240,160,230,140,190,210,160
S12000048,Scotland,Perth and Kinross,260,180,350,320,240,520,290,470,240,610,610
S12000038,Scotland,Renfrewshire,-20,0,20,130,190,220,10,180,90,100,210
S12000026,Scotland,Scottish Borders,190,490,390,390,330,470,420,430,320,630,280
S12000027,Scotland,Shetland Islands,30,30,60,30,100,10,70,70,70,150,120
S12000028,Scotland,South Ayrshire,160,200,200,190,260,310,260,290,270,470,330
S12000029,Scotland,South Lanarkshire,50,70,300,-10,190,150,210,410,330,380,240
S12000030,Scotland,Stirling,110,140,390,340,360,290,340,190,240,30,360
S12000039,Scotland,West Dunbartonshire,10,50,40,40,80,100,0,70,-50,-50,30
S12000040,Scotland,West Lothian,-80,-40,280,90,240,70,140,50,190,250,230
E06000001,North East,Hartlepool,-2,-62,-328,-141,90,50,-14,66,-75,462,685
