areaname,areaCode,region,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Aberdeen City,S12000033,Scotland,"224,910","227,070","228,920","230,350","229,840","228,800","227,560","228,670","229,060","227,430","226,094"
Aberdeenshire,S12000034,Scotland,"255,560","257,770","260,530","261,960","262,190","261,800","261,470","261,210","260,780","262,690","261,146"
Adur,E07000223,South East,"62,158","62,850","63,525","63,808","63,947","64,144","64,230","64,580","64,550","64,632","64,688"
Amber Valley,E07000032,East Midlands,"122,438","122,856","123,018","122,835","123,411","124,225","124,804","125,791","125,953","126,442","126,944"
Angus,S12000041,Scotland,"116,220","116,290","116,740","116,900","116,520","116,280","116,040","116,200","115,820","116,120","115,438"
Argyll and Bute,S12000035,Scotland,"86,910","88,050","87,650","86,890","87,130","86,810","86,260","85,870","85,430","86,220","85,713"
Arun,E07000224,South East,"152,162","154,034","155,983","157,474","159,363","161,338","162,647","163,310","163,661","165,219","166,366"
Ashfield,E07000170,East Midlands,"119,990","121,352","122,199","123,115","123,989","125,410","126,076","126,521","126,687","126,356","127,179"
Ashford,E07000105,South East,"120,191","121,850","123,682","124,580","126,327","128,049","129,701","130,466","131,431","133,221","135,610"
Babergh,E07000200,East,"88,144","88,420","88,999","89,391","89,584","89,918","90,456","90,917","91,491","92,724","94,277"
Barking and Dagenham,E09000002,London,"191,453","196,204","201,244","206,450","211,047","214,017","216,298","218,828","219,227","218,714","219,992"
Barnet,E09000003,London,"363,260","368,611","373,853","377,826","382,925","384,117","387,574","390,590","391,046","388,955","389,101"
Barnsley,E08000016,Yorkshire and The Humber,"233,259","234,875","236,421","238,242","240,061","241,287","242,360","243,558","244,201","244,887","246,482"
Basildon,E07000066,East,"176,622","178,944","181,317","182,734","184,651","185,299","186,668","187,714","187,796","187,718","188,848"
Basingstoke and Deane,E07000084,South East,"171,272","173,300","175,144","176,838","178,352","179,083","179,828","181,396","183,125","185,713","187,817"
Bassetlaw,E07000171,East Midlands,"113,248","113,577","114,026","114,393","114,879","115,757","116,212","116,485","117,068","118,327","120,012"
Bath and North East Somerset,E06000022,South West,"176,598","178,743","180,065","182,561","185,507","186,894","189,489","190,176","191,974","192,419","195,618"
Bedford,E06000055,East,"160,344","163,672","166,856","170,149","173,703","175,537","178,288","180,651","182,346","185,796","187,466"
Bexley,E09000004,London,"234,435","236,169","239,112","241,427","244,006","244,494","245,244","246,622","246,924","246,637","247,835"
Birmingham,E08000025,West Midlands,"1,084,661","1,094,531","1,103,724","1,114,932","1,131,271","1,139,893","1,146,050","1,150,646","1,148,692","1,143,285","1,157,603"
Blaby,E07000129,East Midlands,"94,656","95,045","95,964","96,604","98,014","99,366","100,767","101,777","102,293","103,271","104,182"
Blackburn with Darwen,E06000008,North West,"148,532","149,148","149,579","150,490","151,497","152,312","152,787","154,066","154,564","154,954","155,762"
Blackpool,E06000009,North West,"142,565","142,733","142,253","141,788","141,996","142,121","141,880","142,407","141,560","140,976","141,574"
Blaenau Gwent,W06000019,Wales,"69,589","69,186","68,737","68,395","68,135","67,829","67,566","67,382","67,219","66,989","67,014"
Bolsover,E07000033,East Midlands,"76,505","76,811","77,074","77,625","77,870","78,444","78,566","79,178","79,647","80,473","81,553"
Bolton,E08000001,North West,"279,738","281,629","283,212","284,972","287,253","289,684","291,594","294,888","295,712","296,169","298,903"
Boston,E07000136,East Midlands,"65,264","66,612","67,142","67,586","68,589","69,673","70,132","70,226","70,181","70,815","70,806"
"Bournemouth, Christchurch and Poole",E06000058,South West,"382,465","385,483","389,727","392,499","397,066","399,374","400,064","400,182","399,564","400,155","401,898"
Bracknell Forest,E06000036,South East,"115,100","116,552","117,979","119,078","119,553","120,164","121,046","121,660","123,188","125,195","126,881"
Bradford,E08000032,Yorkshire and The Humber,"525,522","528,712","531,795","534,919","538,178","540,447","542,542","545,966","547,141","546,839","552,644"
Braintree,E07000067,East,"148,443","149,285","150,314","150,908","151,848","152,422","152,353","153,439","154,107","155,693","157,681"
Breckland,E07000143,East,"131,701","132,905","134,204","135,667","137,190","138,592","139,146","139,523","140,408","142,160","143,479"
Brent,E09000005,London,"317,984","324,345","329,981","335,605","339,524","342,439","345,558","347,424","343,988","339,248","341,221"
Brentwood,E07000068,East,"74,255","74,912","76,193","76,690","77,163","76,950","76,854","77,231","77,339","77,111","77,332"
Bridgend,W06000013,Wales,"139,985","140,579","141,333","142,177","142,887","143,355","143,583","144,500","145,434","145,738","146,136"
Brighton and Hove,E06000043,South East,"274,051","275,494","275,999","277,351","279,796","279,500","281,250","279,920","278,496","276,454","277,965"
