Area Code,Region Name,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
S92000003,Scotland,3000,7900,9600,8400,8800,10500,10000,10000,9000,8900,12500
E12000001,North East,-3649,-2333,874,-1390,728,4654,5095,4569,4924,10452,9744
E12000002,North West,-11320,-10460,-5638,5005,6603,11862,12786,11919,11521,19932,18924
E12000003,Yorkshire and The Humber,-4456,-8888,-7028,-5671,-924,320,1318,2063,-572,2985,2741
E12000004,East Midlands,5645,3445,7104,9959,14454,24490,18420,13106,9075,17913,16034
E12000005,West Midlands,-8096,-4308,-4995,-5175,1528,3465,1856,-2650,-3119,-67,-4450
E12000006,East,17848,19871,23329,16501,16904,7185,7395,8774,14674,25213,12077
E12000007,London,-50444,-53037,-78078,-78818,-100519,-119683,-110344,-99371,-113983,-186005,-125824
E12000008,South East,27503,26703,26039,18440,13348,8485,9721,10440,18688,41450,17644
E12000009,South West,22338,24474,29600,34788,36820,42398,36653,32627,25089,52204,32657
W92000004,Wales,3366,-1875,-108,-1233,2258,5787,6912,7391,26281,9415,10652
