ITL1 region,SIC07,SIC07 desc,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
East,ABDE (1-9; 35-39),"Agriculture, mining, electricity, gas, water and waste",4860.0,4837.0,5052.0,5076.0,5075.0,5344.0,5245.0,5684.0,5632.0,5776.0,6261.0
East,C (10-33),Manufacturing,14801.0,15795.0,16785.0,16443.0,15571.0,17082.0,15858.0,17205.0,14193.0,13697.0,15042.0
East,F (41-43),Construction,9240.0,10107.0,11434.0,12746.0,13225.0,14207.0,14865.0,15189.0,13159.0,14283.0,16729.0
East,G (45-47),Wholesale and retail trade; repair of motor vehicles,14755.0,15410.0,16447.0,17263.0,17523.0,19131.0,18142.0,18825.0,18393.0,20629.0,21554.0
East,H (49-53),Transportation and storage,5700.0,5885.0,5898.0,6183.0,6444.0,6798.0,7091.0,7367.0,6325.0,6815.0,6642.0
East,I (55-56),Accommodation and food service activities,3189.0,3398.0,3613.0,3832.0,4171.0,4441.0,4598.0,4528.0,3151.0,4315.0,5819.0
East,J (58-63),Information and communication,6207.0,6566.0,6985.0,6997.0,7560.0,7768.0,7675.0,8239.0,7832.0,7937.0,8390.0
East,K (64-66),Financial and insurance activities,6495.0,6957.0,7026.0,6644.0,6998.0,6786.0,5971.0,6539.0,6721.0,7060.0,7693.0
East,L (68),Real estate activities,16415.0,15861.0,17042.0,18118.0,19727.0,21226.0,21304.0,20847.0,21986.0,22396.0,23055.0
East,M (69-75),"Professional, scientific and technical activities",8663.0,8772.0,9354.0,8597.0,8929.0,9847.0,9647.0,10130.0,9269.0,11085.0,10043.0
East,N (77-82),Administrative and support service activities,5352.0,6015.0,6666.0,7420.0,7898.0,8840.0,9317.0,10048.0,8796.0,9738.0,10033.0
East,O (84),Public administration and defence,6080.0,5881.0,5799.0,6038.0,6352.0,6249.0,6448.0,6904.0,6940.0,7351.0,8048.0
East,P (85),Education,7499.0,7375.0,7496.0,7517.0,7669.0,7804.0,8335.0,8992.0,8770.0,9529.0,9902.0
East,Q (86-88),Human health and social work activities,8895.0,9270.0,9730.0,10172.0,10629.0,11483.0,11835.0,12324.0,12279.0,13511.0,12871.0
East,R (90-93),"Arts, entertainment and recreation",1689.0,1772.0,1736.0,1766.0,1846.0,2118.0,2191.0,2568.0,2340.0,2000.0,2192.0
East,S (94-96),Other service activities,2185.0,2354.0,2453.0,2568.0,2629.0,2716.0,2731.0,2815.0,2360.0,2900.0,3431.0
East,T (97-98),Activities of households,320.0,329.0,382.0,330.0,395.0,378.0,398.0,432.0,334.0,357.0,329.0
East Midlands,ABDE (1-9; 35-39),"Agriculture, mining, electricity, gas, water and waste",5258.0,5534.0,4752.0,5874.0,5581.0,5740.0,5578.0,5798.0,5432.0,5015.0,5543.0
East Midlands,C (10-33),Manufacturing,10333.0,11421.0,10486.0,10210.0,10230.0,10493.0,10903.0,11208.0,11062.0,11793.0,12388.0
East Midlands,F (41-43),Construction,5297.0,5690.0,6043.0,6803.0,6948.0,7303.0,6508.0,6849.0,7052.0,6946.0,8102.0
East Midlands,G (45-47),Wholesale and retail trade; repair of motor vehicles,9889.0,10320.0,8728.0,8854.0,8778.0,9522.0,9771.0,9827.0,9917.0,10124.0,10345.0
East Midlands,H (49-53),Transportation and storage,3923.0,4151.0,4189.0,4237.0,4412.0,4546.0,4761.0,5204.0,5312.0,5513.0,6029.0
East Midlands,I (55-56),Accommodation and food service activities,1990.0,2145.0,2251.0,2352.0,2664.0,2805.0,2894.0,3026.0,2071.0,2730.0,3716.0
East Midlands,J (58-63),Information and communication,2963.0,2995.0,2997.0,3012.0,3311.0,3339.0,3616.0,3516.0,3471.0,4534.0,4786.0
East Midlands,K (64-66),Financial and insurance activities,3294.0,3224.0,2451.0,3541.0,3422.0,2403.0,2353.0,2343.0,2223.0,2750.0,3162.0
East Midlands,L (68),Real estate activities,9742.0,9792.0,9461.0,9954.0,10334.0,10802.0,11686.0,12149.0,11259.0,11609.0,12106.0
East Midlands,M (69-75),"Professional, scientific and technical activities",4173.0,4351.0,4684.0,4868.0,5288.0,5548.0,5844.0,6175.0,6057.0,6793.0,6769.0
East Midlands,N (77-82),Administrative and support service activities,3896.0,4346.0,4592.0,4957.0,5102.0,5238.0,5436.0,5372.0,4768.0,5346.0,6137.0
East Midlands,O (84),Public administration and defence,4395.0,4259.0,4199.0,4317.0,4524.0,4494.0,4569.0,4880.0,5101.0,5666.0,5933.0
East Midlands,P (85),Education,6461.0,6489.0,6627.0,6714.0,5620.0,5832.0,6192.0,5513.0,5640.0,5647.0,6149.0
East Midlands,Q (86-88),Human health and social work activities,6534.0,6515.0,5832.0,6100.0,6690.0,6786.0,7077.0,7147.0,7914.0,6188.0,6987.0
East Midlands,R (90-93),"Arts, entertainment and recreation",1095.0,1138.0,1217.0,1286.0,1302.0,1480.0,1425.0,1400.0,1097.0,1309.0,1654.0
East Midlands,S (94-96),Other service activities,1476.0,1526.0,1586.0,1666.0,1765.0,1950.0,2099.0,2150.0,1903.0,1969.0,2322.0
East Midlands,T (97-98),Activities of households,98.0,137.0,146.0,133.0,192.0,179.0,191.0,209.0,166.0,219.0,200.0
London,ABDE (1-9; 35-39),"Agriculture, mining, electricity, gas, water and waste",4619.0,4672.0,4500.0,4569.0,4380.0,4472.0,4531.0,5195.0,6054.0,5023.0,5288.0
London,C (10-33),Manufacturing,8008.0,7388.0,7344.0,8233.0,8010.0,8643.0,9207.0,9376.0,8341.0,9312.0,9025.0
London,F (41-43),Construction,12931.0,13979.0,14985.0,15371.0,12982.0,14061.0,15086.0,14330.0,14843.0,14046.0,15098.0
London,G (45-47),Wholesale and retail trade; repair of motor vehicles,15667.0,15297.0,13301.0,13234.0,13788.0,12864.0,14129.0,12923.0,13868.0,12845.0,13981.0
London,H (49-53),Transportation and storage,9075.0,9379.0,10038.0,9893.0,10109.0,9345.0,9308.0,9317.0,7934.0,8772.0,10190.0
London,I (55-56),Accommodation and food service activities,6936.0,7474.0,8123.0,8182.0,8920.0,8564.0,9197.0,9817.0,6630.0,8548.0,11089.0
London,J (58-63),Information and communication,6148.0,5916.0,6434.0,6114.0,6753.0,6190.0,6159.0,6311.0,5343.0,4978.0,5557.0
London,K (64-66),Financial and insurance activities,4140.0,4348.0,4813.0,4037.0,4138.0,3976.0,3963.0,4227.0,4185.0,4270.0,5006.0
London,L (68),Real estate activities,8164.0,6360.0,5994.0,2340.0,1500.0,2370.0,1500.0,2412.0,2278.0,2356.0,2544.0
London,M (69-75),"Professional, scientific and technical activities",9486.0,9130.0,10024.0,10695.0,10420.0,10506.0,8413.0,9414.0,8409.0,8539.0,9334.0
London,N (77-82),Administrative and support service activities,9971.0,10233.0,8833.0,9305.0,9641.0,9490.0,9840.0,10307.0,10186.0,9688.0,9583.0
London,O (84),Public administration and defence,9698.0,9643.0,10156.0,10340.0,10314.0,10629.0,12078.0,11010.0,11015.0,11359.0,10196.0
London,P (85),Education,13441.0,12961.0,13879.0,13956.0,13440.0,13857.0,14236.0,15137.0,14814.0,15315.0,14375.0
London,Q (86-88),Human health and social work activities,13301.0,13668.0,13919.0,13467.0,13684.0,13276.0,13372.0,14153.0,14480.0,14254.0,14670.0
London,R (90-93),"Arts, entertainment and recreation",4623.0,4930.0,5235.0,5483.0,5538.0,5940.0,6279.0,7026.0,5255.0,5879.0,7077.0
London,S (94-96),Other service activities,4270.0,4487.0,4597.0,4973.0,4309.0,4612.0,4886.0,4938.0,4973.0,5467.0,6063.0
London,T (97-98),Activities of households,475.0,506.0,625.0,679.0,845.0,865.0,915.0,956.0,786.0,653.0,636.0
North East,ABDE (1-9; 35-39),"Agriculture, mining, electricity, gas, water and waste",2478.0,2498.0,2580.0,2571.0,2419.0,1523.0,2386.0,1586.0,2329.0,2109.0,2272.0
North East,C (10-33),Manufacturing,5293.0,4521.0,4506.0,4597.0,3528.0,3422.0,3567.0,3638.0,3419.0,3563.0,3838.0
North East,F (41-43),Construction,2564.0,2653.0,2858.0,3089.0,3064.0,3118.0,3293.0,3562.0,2657.0,3424.0,3964.0
North East,G (45-47),Wholesale and retail trade; repair of motor vehicles,4547.0,4658.0,5012.0,5017.0,4803.0,4850.0,4960.0,5177.0,4678.0,5478.0,5955.0
North East,H (49-53),Transportation and storage,1752.0,1839.0,1845.0,1884.0,1946.0,1954.0,2045.0,2196.0,1775.0,1846.0,2151.0
North East,I (55-56),Accommodation and food service activities,1151.0,1191.0,1276.0,1345.0,1520.0,1607.0,1554.0,1529.0,1026.0,1527.0,2031.0
North East,J (58-63),Information and communication,2249.0,2202.0,2443.0,2660.0,2629.0,2724.0,2493.0,2458.0,2330.0,2727.0,1979.0
North East,K (64-66),Financial and insurance activities,2635.0,2652.0,2573.0,2688.0,2695.0,2923.0,2956.0,2735.0,2570.0,2731.0,2980.0
North East,L (68),Real estate activities,4652.0,5597.0,4787.0,5045.0,5319.0,5393.0,5555.0,5716.0,5676.0,4794.0,4142.0
North East,M (69-75),"Professional, scientific and technical activities",2072.0,2059.0,2149.0,2274.0,2283.0,2357.0,2393.0,2559.0,2461.0,2817.0,2967.0
North East,N (77-82),Administrative and support service activities,1631.0,1700.0,1859.0,2022.0,2130.0,2153.0,2210.0,2435.0,2155.0,2313.0,2625.0
North East,O (84),Public administration and defence,3194.0,3227.0,3071.0,3173.0,3206.0,3220.0,3314.0,3555.0,3494.0,2890.0,3218.0
North East,P (85),Education,3458.0,3397.0,3419.0,3471.0,3566.0,3534.0,3655.0,3930.0,4280.0,4265.0,3520.0
North East,Q (86-88),Human health and social work activities,4015.0,3985.0,4060.0,4079.0,4166.0,4432.0,4519.0,4839.0,5143.0,5424.0,5464.0
North East,R (90-93),"Arts, entertainment and recreation",672.0,745.0,754.0,785.0,695.0,710.0,694.0,756.0,483.0,538.0,715.0
North East,S (94-96),Other service activities,648.0,640.0,651.0,712.0,797.0,896.0,960.0,980.0,843.0,977.0,1107.0
North East,T (97-98),Activities of households,39.0,43.0,46.0,53.0,83.0,92.0,92.0,108.0,93.0,104.0,87.0
North West,ABDE (1-9; 35-39),"Agriculture, mining, electricity, gas, water and waste",4537.0,4857.0,5297.0,5149.0,4850.0,5146.0,5282.0,5893.0,6893.0,5376.0,5786.0
North West,C (10-33),Manufacturing,15662.0,16539.0,15337.0,16097.0,15144.0,14869.0,16019.0,15702.0,17514.0,17428.0,16815.0
North West,F (41-43),Construction,7971.0,8416.0,8701.0,9429.0,9921.0,10597.0,11222.0,11141.0,9359.0,9728.0,10202.0
North West,G (45-47),Wholesale and retail trade; repair of motor vehicles,14223.0,14386.0,12754.0,13166.0,14084.0,14186.0,13866.0,15183.0,12763.0,14520.0,16272.0
North West,H (49-53),Transportation and storage,5899.0,6174.0,6187.0,6696.0,5983.0,5991.0,6418.0,7065.0,6398.0,7514.0,7240.0
North West,I (55-56),Accommodation and food service activities,4024.0,4336.0,4435.0,4737.0,4973.0,5172.0,5430.0,5632.0,3515.0,5335.0,6139.0
North West,J (58-63),Information and communication,5332.0,5351.0,5705.0,5888.0,6332.0,6190.0,6205.0,5301.0,5194.0,4297.0,4632.0
North West,K (64-66),Financial and insurance activities,3152.0,4374.0,3611.0,3411.0,4614.0,4609.0,4369.0,4140.0,3971.0,3758.0,5012.0
North West,L (68),Real estate activities,12655.0,12701.0,13388.0,13068.0,13526.0,13868.0,13104.0,13514.0,13307.0,13911.0,14849.0
North West,M (69-75),"Professional, scientific and technical activities",6758.0,7351.0,7493.0,6263.0,6254.0,6874.0,7131.0,7784.0,6653.0,7307.0,8220.0
North West,N (77-82),Administrative and support service activities,6295.0,5955.0,6469.0,5860.0,6411.0,6003.0,5980.0,6171.0,6127.0,6931.0,6661.0
North West,O (84),Public administration and defence,7237.0,7148.0,7085.0,7424.0,7731.0,8196.0,6585.0,7010.0,6929.0,7407.0,8037.0
North West,P (85),Education,8059.0,8181.0,8333.0,8361.0,7492.0,7607.0,7912.0,8014.0,8509.0,8625.0,9582.0
North West,Q (86-88),Human health and social work activities,10549.0,10554.0,11163.0,12062.0,12794.0,13203.0,13328.0,14514.0,15284.0,14888.0,16153.0
North West,R (90-93),"Arts, entertainment and recreation",2267.0,2535.0,2574.0,2599.0,2538.0,2619.0,2664.0,2838.0,2002.0,2380.0,2892.0
North West,S (94-96),Other service activities,2407.0,2477.0,2639.0,2640.0,2739.0,3023.0,3193.0,3337.0,2821.0,3007.0,3525.0
North West,T (97-98),Activities of households,140.0,177.0,201.0,176.0,198.0,198.0,204.0,230.0,195.0,252.0,237.0
Scotland,ABDE (1-9; 35-39),"Agriculture, mining, electricity, gas, water and waste",7565.0,7970.0,7392.0,7233.0,7154.0,6645.0,6460.0,7333.0,7188.0,5946.0,6481.0
Scotland,C (10-33),Manufacturing,9903.0,10245.0,9873.0,10003.0,10118.0,11227.0,11429.0,10459.0,8759.0,10897.0,10510.0
Scotland,F (41-43),Construction,6603.0,7224.0,7578.0,7025.0,7113.0,7639.0,7622.0,7598.0,7213.0,7229.0,7335.0
Scotland,G (45-47),Wholesale and retail trade; repair of motor vehicles,8235.0,8493.0,8990.0,8820.0,9458.0,9908.0,9919.0,10244.0,9462.0,10354.0,10314.0
Scotland,H (49-53),Transportation and storage,4805.0,5051.0,5220.0,5302.0,5475.0,5577.0,5576.0,5841.0,4476.0,4626.0,5548.0
Scotland,I (55-56),Accommodation and food service activities,3600.0,3846.0,3994.0,4180.0,4458.0,4668.0,4818.0,4139.0,3115.0,3975.0,5602.0
Scotland,J (58-63),Information and communication,2844.0,3014.0,3146.0,3445.0,2482.0,2617.0,2741.0,2668.0,2887.0,2907.0,3008.0
Scotland,K (64-66),Financial and insurance activities,1940.0,2092.0,2072.0,2021.0,2293.0,2396.0,2212.0,2304.0,1909.0,1760.0,1727.0
Scotland,L (68),Real estate activities,9081.0,9551.0,10086.0,10543.0,10796.0,11136.0,11465.0,12107.0,11910.0,12134.0,12976.0
Scotland,M (69-75),"Professional, scientific and technical activities",3360.0,3505.0,3793.0,3969.0,4114.0,4372.0,4559.0,4515.0,4205.0,4894.0,5371.0
Scotland,N (77-82),Administrative and support service activities,4602.0,3949.0,4148.0,4239.0,4331.0,4432.0,4880.0,4004.0,4364.0,3981.0,4526.0
Scotland,O (84),Public administration and defence,5818.0,6821.0,7242.0,6203.0,6820.0,7124.0,7240.0,7464.0,7662.0,8177.0,8408.0
Scotland,P (85),Education,5218.0,5333.0,5615.0,6546.0,5321.0,5372.0,5408.0,5893.0,6214.0,6414.0,7077.0
Scotland,Q (86-88),Human health and social work activities,7975.0,8104.0,8415.0,8650.0,8881.0,9412.0,9777.0,8080.0,8829.0,9538.0,9443.0
Scotland,R (90-93),"Arts, entertainment and recreation",1934.0,2062.0,1940.0,1865.0,1753.0,1860.0,1875.0,2028.0,1530.0,1726.0,2089.0
Scotland,S (94-96),Other service activities,1746.0,1864.0,1932.0,2042.0,2223.0,2342.0,2558.0,2519.0,1939.0,2168.0,2518.0
Scotland,T (97-98),Activities of households,80.0,72.0,88.0,102.0,143.0,148.0,176.0,194.0,157.0,125.0,123.0
South East,ABDE (1-9; 35-39),"Agriculture, mining, electricity, gas, water and waste",8533.0,8962.0,9818.0,10220.0,9531.0,8843.0,8863.0,9549.0,10605.0,9560.0,10147.0
South East,C (10-33),Manufacturing,18510.0,19634.0,19595.0,19551.0,19693.0,18836.0,18234.0,19133.0,19489.0,18928.0,17745.0
South East,F (41-43),Construction,13403.0,13652.0,14566.0,15891.0,16092.0,17051.0,17659.0,18946.0,17476.0,18401.0,21401.0
South East,G (45-47),Wholesale and retail trade; repair of motor vehicles,19193.0,19667.0,20688.0,21602.0,21882.0,25053.0,23610.0,25283.0,26252.0,25523.0,26323.0
South East,H (49-53),Transportation and storage,8371.0,7775.0,7828.0,7620.0,7714.0,7832.0,8395.0,8862.0,9369.0,10176.0,9229.0
South East,I (55-56),Accommodation and food service activities,5562.0,5884.0,6139.0,6559.0,7023.0,7384.0,7772.0,8205.0,5399.0,7704.0,10613.0
