countryRegionName,HousePriceDecile,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
England,10,89500,92000,95000,99950,103489,106000,110000,113000,125000,127000,132500
England,50,185000,190000,200000,215000,225000,235000,240000,247842,278000,275000,297995
England,90,427000,445500,475000,501000,515000,535000,535000,550000,615000,624000,660000
North East,10,58000,58500,60000,60000,61000,62500,63500,65000,67000,72000,75000
North East,50,120000,124000,128650,132000,135000,137500,140000,143000,155000,154000,163000
North East,90,240000,245000,250000,267500,277500,285000,290000,299995,332500,330000,350000
North West,10,65000,65000,69500,70000,75000,77500,79950,82000,90000,96000,102000
North West,50,129950,133000,140000,145000,151995,158000,162000,170000,189995,194950,210000
North West,90,266500,275000,289000,300000,317000,331000,337540,349995,399000,399950,425000
Yorkshire and The Humber,10,67000,70000,72000,75000,77500,80000,83000,85000,90000,96000,100000
Yorkshire and The Humber,50,130000,135000,140000,145000,152000,157000,161000,167500,184950,187500,200000
Yorkshire and The Humber,90,269770,272500,285000,303630,316000,325000,334995,345000,392500,387500,415000
East Midlands,10,79500,82250,87500,90000,99950,102500,108000,110000,122000,128000,135000
East Midlands,50,138000,143000,152000,160000,172000,181000,190000,195000,220000,227000,245000
East Midlands,90,270000,275000,295000,317500,330000,350000,365000,370000,420000,420000,445000
West Midlands,10,80000,84000,87082,90000,97000,102500,108000,110000,120500,125000,129950
West Midlands,50,145900,150000,158000,164995,174995,183000,191000,199000,225000,225500,244500
West Midlands,90,297000,302000,325000,340000,360000,375000,385000,391995,445000,445000,475000
East of England,10,113000,116996,124000,130000,145000,152500,160000,162000,176000,178000,190000
East of England,50,195000,200000,220000,240000,265000,280000,285000,290000,322000,322500,350000
East of England,90,400000,420000,450000,487500,520000,550000,550000,560000,620000,630000,665000
London,10,174000,180000,200000,235000,255000,270000,275000,275000,298000,290000,300000
London,50,310000,330000,375000,418500,445000,467000,467500,476808,507500,507500,530000
London,90,777500,840000,915000,945295,955523,1047500,993950,1050000,1100000,1150000,1220000
South East,10,126000,132000,140000,150000,165000,175000,178000,180000,200000,195000,203000
South East,50,230000,238000,250000,279000,301950,317000,320000,325000,362500,360000,387500
South East,90,492000,499950,540000,575000,600000,625000,630000,644950,724998,735000,780000
South West,10,114000,116500,121000,125000,133000,139000,142500,145000,160000,160000,167500
South West,50,188000,192000,205000,218995,234000,245000,250000,255000,285000,285000,315000
South West,90,375000,379950,400000,420000,440000,465000,475000,480000,560000,570000,620000
Wales,10,68000,70000,72500,74000,77000,80000,82000,85000,92000,100000,110000
Wales,50,133000,135000,140000,145000,150000,154000,158000,165000,180000,189995,205000
Wales,90,250000,250000,270000,281000,290000,303500,310000,320995,357000,382000,415000
Scotland,10,55055,55000,58000,60000,58500,62000,65000,65410,70000,73000,77000
Scotland,50,125000,130000,138000,140000,140000,147500,151995,156000,167000,171000,185000
Scotland,90,280000,285950,310000,300000,300000,316000,320000,325000,350000,370000,395000
Northern Ireland,10,47000,49950,54953,60000,65000,68000,72000,73500,78000,85000,87000
Northern Ireland,50,96000,100000,110000,116000,124950,128000,132500,137280,148025,151000,160000
Northern Ireland,90,195000,195000,210000,220000,225000,230000,240000,249000,288000,290000,310000
