countryRegionName,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
County Durham,10,9.3,7.6,6.8,5.8,5.5,4.6,5.4,6.1,5.3,5.2
Darlington,10.4,8.5,8,6.9,6.3,6,4.7,6.1,6.1,5.3,5.3
Hartlepool,13.9,14.1,11.3,9.7,9,10.1,9,7.5,7.8,6.8,6.8
Middlesbrough,15.5,13.3,12.5,11,8.1,7.9,7.4,7.6,7.3,7.3,7.9
Northumberland,7.6,7.1,6.7,6.2,5.5,5,4.3,4.7,5.3,5.2,4.9
Redcar and Cleveland,12.1,11.1,9.4,8.6,7.5,6.9,5.3,5.6,6.7,5.9,5.6
Stockton-on-Tees,10.9,8.9,8.7,7.3,6.4,5.6,5.7,5.7,6.1,5.6,5.6
Gateshead,11.5,8.6,8.1,7,6.2,5.6,4.7,5.6,6.2,5.9,5.9
Newcastle upon Tyne,10.5,11.3,9.7,8.8,7,6.8,5.4,6.1,6.7,7.6,7
North Tyneside,9.7,8.2,7,6.4,5.7,5.8,4.7,4.3,5.9,5.6,5.4
South Tyneside,12.9,11.7,9.8,9,8.1,7.6,6.5,7.5,8.2,6.3,6.6
Sunderland,9.7,12.3,9,8.4,7.4,6.4,6.1,6.5,6.8,5.9,6.2
Blackburn with Darwen,9.8,8.7,8.1,7.3,6.2,5.8,5.2,5.5,5.5,6,5.6
Blackpool,9.7,9.3,8.6,6.3,6.7,5.9,5.7,5.6,5.6,6.1,6.2
Cheshire East,5.8,5.5,4.2,3.5,3.6,3,3.1,3,3.6,3.7,3.4
Cheshire West and Chester,7,6,5,4.1,4,3.8,3.6,3.4,3.2,3.6,3.4
Halton,10.1,9.3,7.1,5.4,5.2,4.6,4.5,3.7,4.5,3.9,3.9
Warrington,6.5,6.3,5,4.5,4,3.7,4,3.2,3.4,3.5,3.3
Allerdale,7.1,6.6,5.6,3.9,4,3.9,3.1,3.3,3.6,3.5,3.2
Barrow-in-Furness,9.1,7.9,7.4,6.2,5.6,4.5,4.5,4.7,4.3,4.1,4.1
Carlisle,5.6,6,4.9,2.8,4.5,3.3,2.6,2.9,3.4,3.3,3.2
Copeland,7.6,6.6,6,5.3,5.5,4.2,3.8,3.5,3.7,2.7,3.2
Eden,3.1,2.7,2.8,1.8,2.5,1.8,1.8,1.5,2.6,2.9,2.7
South Lakeland,3.3,2.5,3.1,2.1,2.4,1.8,1.8,1.6,2.8,2.8,2.7
Bolton,9.2,9.9,7.3,6.6,6,5.3,4.9,5.8,5.5,5.5,5.7
Bury,8.7,7,6.3,5.7,5.1,4.2,4.2,4.4,4.3,4.4,4
Manchester,12.8,10.6,9.4,7.6,7.5,5.6,5.2,5.8,6.7,6.6,7.1
